Order_ID,Order_Date,Ship_Date,Delivery_Date,Order_Month,Order_Quarter,Order_Year,Is_Weekend,Is_Holiday,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Customer_Segment,Customer_City,Customer_State,Customer_Region,Customer_Rating,Days_Since_Last_Order,Product_Category,Product_Subcategory,Product_Name,Product_SKU,Supplier,Sales_Channel,Payment_Method,Shipping_Method,Quantity,Unit_Price,Unit_Cost,Gross_Sales,Discount_Percent,Discount_Amount,Tax_Amount,Shipping_Cost,Net_Sales,Profit,Profit_Margin_Percent,Marketing_Campaign,Ad_Spend,Ad_Clicks,Returned,Return_Reason,Customer_Satisfaction,Delivery_Days,Review_Score
ORD100000,2026-03-10,2026-03-13,2026-03-16,2026-03,Q1 2026,2026,False,False,CUST31747,Allison Hill,35,Other,Corporate,East Jill,Utah,Central,4.2,304,Sports,Fitness,User-centric needs-based array,SKU-9600-FNOG,"Johnson, Gonzalez and Santos",Online,Credit Card,Overnight,2,75.97,33.78,151.94,5,7.6,25.98,37.45,170.32,76.78,50.53,Clearance,6.22,9,False,,3,6,4
ORD100001,2024-09-16,2024-09-17,2024-09-24,2024-09,Q3 2024,2024,False,False,CUST89129,Connie Lawrence,35,Male,VIP,Port Lindachester,Michigan,Central,2.0,46,Home & Garden,Outdoor,Grass-roots coherent data-warehouse,SKU-5116-GWWM,Roman-Blair,Retail Store,UPI,Standard,1,178.51,75.71,178.51,30,53.55,22.49,11.45,147.45,49.25,27.59,None,0.0,0,False,,5,8,3
ORD100002,2024-06-19,2024-06-22,2024-06-25,2024-06,Q2 2024,2024,False,False,CUST67132,Valerie Gray,18,Male,New,Mariastad,Oregon,South,3.5,0,Books,Fiction,Ergonomic tertiary architecture,SKU-0341-OGYR,Reid-Diaz,Online,PayPal,Standard,1,36.03,21.45,36.03,5,1.8,6.16,24.59,40.39,12.78,35.47,Clearance,16.67,3,False,,3,6,3
ORD100003,2025-03-02,2025-03-09,2025-03-18,2025-03,Q1 2025,2025,True,True,CUST21542,Daniel Adams,31,Female,Returning,New Cynthiaside,Washington,East,2.3,165,Sports,Apparel,Fully-configurable cohesive Local Area Network,SKU-6483-RUXX,Perez Inc,Online,Credit Card,Express,1,146.01,75.95,146.01,15,21.9,22.34,5.8,146.45,48.16,32.98,Summer Sale,32.88,17,False,,5,16,4
ORD100004,2025-01-30,2025-02-05,2025-02-13,2025-01,Q1 2025,2025,False,False,CUST36680,Jennifer Jones,30,Male,New,Jasonfort,Montana,Central,2.1,0,Electronics,Laptops,Stand-alone logistical circuit,SKU-4238-IQVL,Hurst-Ross,Retail Store,PayPal,Standard,2,611.78,383.55,1223.56,0,0.0,220.24,0.0,1443.8,456.46,37.31,Clearance,44.04,15,False,,3,14,1
ORD100005,2025-01-08,2025-01-09,2025-01-18,2025-01,Q1 2025,2025,False,False,CUST39451,Zachary Hicks,34,Other,Returning,Port Brandonville,Georgia,South,5.0,58,Toys,Puzzles,Self-enabling cohesive utilization,SKU-6916-YMDH,Maddox-Valencia,Online,Credit Card,Express,1,67.18,33.13,67.18,20,13.44,9.67,23.07,63.41,20.61,30.68,Clearance,46.63,9,False,,2,10,3
ORD100006,2024-10-14,2024-10-18,2024-10-22,2024-10,Q4 2024,2024,False,False,CUST76616,Nathan Maldonado,46,Female,Returning,Kaylamouth,Delaware,West,4.0,69,Sports,Apparel,Implemented intermediate complexity,SKU-7048-WLGG,"Evans, Fowler and Lynch",Online,Credit Card,Standard,1,79.0,44.66,79.0,0,0.0,14.22,43.2,93.22,34.34,43.47,New Year,46.71,16,False,,4,8,1
ORD100007,2024-09-06,2024-09-13,2024-09-16,2024-09,Q3 2024,2024,False,False,CUST73483,Phillip Ryan,40,Other,Returning,New Mariotown,Delaware,Central,2.4,282,Home & Garden,Decor,Multi-lateral fault-tolerant encoding,SKU-0391-FUFE,"Cannon, Anderson and Alvarez",Online,UPI,Standard,1,199.18,119.11,199.18,0,0.0,35.85,38.14,235.03,80.07,40.2,Black Friday,49.04,7,False,,3,10,4
ORD100008,2026-04-17,2026-04-24,2026-05-01,2026-04,Q2 2026,2026,False,False,CUST96991,Deborah Brennan,29,Female,Returning,Brandtside,Wisconsin,North,4.2,333,Clothing,Shoes,Upgradable system-worthy customer loyalty,SKU-4657-HCHP,Brown Inc,Online,Credit Card,Overnight,1,68.18,36.95,68.18,15,10.23,10.43,49.04,68.38,21.0,30.8,Black Friday,25.11,18,False,,1,14,1
ORD100009,2025-12-04,2025-12-10,2025-12-13,2025-12,Q4 2025,2025,False,False,CUST95823,Crystal Robinson,45,Other,VIP,Lake Crystalbury,California,North,4.9,38,Food,Frozen,Automated full-range archive,SKU-8347-NIIU,"Johnston, Sanchez and Kennedy",Mobile App,Debit Card,Standard,2,23.28,12.5,46.56,0,0.0,8.38,23.47,54.94,21.56,46.31,None,0.0,0,False,,3,9,4
ORD100010,2024-08-22,2024-08-26,2024-09-01,2024-08,Q3 2024,2024,False,False,CUST73956,Brandon Hopkins,24,Male,Returning,Rodneymouth,Washington,East,4.5,18,Toys,Educational,Business-focused systematic projection,SKU-1065-ZGPM,Herrera and Sons,Phone,UPI,Express,1,77.16,50.76,77.16,0,0.0,13.89,30.87,91.05,26.4,34.21,Black Friday,37.34,13,False,,3,10,1
ORD100011,2026-01-19,2026-01-26,2026-01-27,2026-01,Q1 2026,2026,False,False,CUST59131,Donald Wright,23,Female,Returning,South Lindseyside,Connecticut,East,2.7,125,Sports,Team Sports,Business-focused solution-oriented moratorium,SKU-0132-AFEN,Barrera-Martin,Phone,UPI,Express,1,184.55,76.37,184.55,10,18.45,29.9,26.56,196.0,89.73,48.62,Black Friday,8.75,19,False,,2,8,5
ORD100012,2025-07-31,2025-08-04,2025-08-09,2025-07,Q3 2025,2025,False,False,CUST97404,James House,39,Other,Returning,Mitchellside,Texas,West,1.0,238,Toys,Action Figures,Universal mobile collaboration,SKU-3430-LVID,"Edwards, Williams and Woods",Mobile App,Credit Card,Express,1,81.4,36.05,81.4,5,4.07,13.92,45.06,91.25,41.28,50.71,Summer Sale,22.09,11,False,,2,9,3
ORD100013,2024-06-26,2024-06-30,2024-07-08,2024-06,Q2 2024,2024,False,False,CUST59986,Kim Brown,34,Female,New,Port Jacobland,Utah,East,3.3,0,Toys,Dolls,Front-line impactful capability,SKU-9399-CNFA,"Silva, Mills and Donovan",Partner,Credit Card,Standard,1,49.48,24.28,49.48,15,7.42,7.57,28.74,49.63,17.78,35.93,Summer Sale,48.9,12,False,,3,12,1
ORD100014,2024-06-24,2024-06-27,2024-07-01,2024-06,Q2 2024,2024,False,False,CUST56179,Mike Allen,48,Male,New,Andersonport,New Jersey,Central,1.9,0,Books,Fiction,Intuitive web-enabled archive,SKU-0799-GEIN,"Baker, Mahoney and Ibarra",Online,UPI,Standard,4,49.76,32.34,199.04,15,29.86,30.45,9.51,199.63,39.82,20.01,Summer Sale,45.17,20,False,,2,7,3
ORD100015,2024-08-28,2024-08-29,2024-09-03,2024-08,Q3 2024,2024,False,False,CUST64460,Jaclyn Moore,41,Other,Returning,Cherylhaven,Alabama,North,1.7,67,Food,Frozen,Synchronized neutral framework,SKU-1241-GVJJ,Campbell-Clark,Phone,Credit Card,Standard,3,24.89,15.42,74.67,20,14.93,10.75,39.33,70.49,13.48,18.05,None,0.0,0,False,,3,6,3
ORD100016,2025-01-03,2025-01-10,2025-01-15,2025-01,Q1 2025,2025,False,False,CUST54396,Michael Farrell,38,Female,Returning,Kington,Colorado,East,4.2,239,Food,Beverages,Sharable interactive focus group,SKU-0052-OQKV,Arnold-Patterson,Online,Debit Card,Standard,3,34.92,23.86,104.76,20,20.95,15.09,48.14,98.9,12.23,11.67,Clearance,48.36,17,False,,2,12,1
ORD100017,2025-01-18,2025-01-21,2025-01-26,2025-01,Q1 2025,2025,True,False,CUST93695,Benjamin Ware,35,Female,Returning,New Barry,Mississippi,North,4.8,55,Food,Frozen,Reduced neutral circuit,SKU-6204-XYCW,Fleming Ltd,Online,Debit Card,Express,4,15.43,6.74,61.72,0,0.0,11.11,33.74,72.83,34.76,56.32,None,0.0,0,False,,5,8,5
ORD100018,2025-10-24,2025-10-28,2025-10-30,2025-10,Q4 2025,2025,False,False,CUST14877,Richard Henson,18,Male,Corporate,Dicksonberg,Kansas,West,2.2,252,Clothing,Men,Diverse context-sensitive installation,SKU-0256-ZQVZ,Adams Ltd,Online,Credit Card,Standard,4,139.13,68.27,556.52,0,0.0,100.17,0.0,656.69,283.44,50.93,None,0.0,0,False,,2,6,4
ORD100019,2026-01-31,2026-02-02,2026-02-09,2026-01,Q1 2026,2026,True,False,CUST74139,Shane Garrison,37,Male,Returning,East Lisa,New Jersey,Central,3.5,143,Sports,Outdoor,Monitored fault-tolerant utilization,SKU-3303-ZVRE,Bell-Hicks,Retail Store,Net Banking,Standard,1,107.06,66.66,107.06,0,0.0,19.27,1.64,126.33,40.4,37.74,Clearance,47.53,11,False,,4,9,3
ORD100020,2024-06-21,2024-06-22,2024-06-30,2024-06,Q2 2024,2024,False,False,CUST37801,Sarah Rivera,51,Male,Returning,North Natalieview,Idaho,North,3.6,305,Books,Academic,Reduced empowering alliance,SKU-1965-UYUB,"Joyce, Wilson and Lam",Online,Credit Card,Express,5,32.41,14.81,162.05,0,0.0,29.17,48.55,191.22,88.0,54.3,Black Friday,39.35,6,True,Not Needed,1,9,5
ORD100021,2025-12-20,2025-12-27,2025-12-30,2025-12,Q4 2025,2025,True,False,CUST88116,Andrew Graham,47,Male,Returning,West Ryan,Texas,South,1.0,74,Clothing,Bags,Managed regional functionalities,SKU-1484-QAUZ,"Phillips, Martinez and Fisher",Online,Credit Card,Overnight,2,127.57,59.95,255.14,5,12.76,43.63,49.38,286.01,122.48,48.01,Summer Sale,33.05,0,False,,2,10,1
ORD100022,2024-12-14,2024-12-15,2024-12-18,2024-12,Q4 2024,2024,True,False,CUST78955,Megan Orr,19,Other,New,Richardtown,Maryland,Central,1.5,0,Home & Garden,Kitchen,Horizontal demand-driven Internet solution,SKU-9957-CCRN,"Kennedy, Santana and Flynn",Online,PayPal,Standard,1,137.71,62.28,137.71,5,6.89,23.55,3.18,154.37,68.54,49.77,None,0.0,0,False,,3,4,1
ORD100023,2026-03-21,2026-03-28,2026-04-06,2026-03,Q1 2026,2026,True,False,CUST94323,Bradley Robertson,38,Other,Returning,Clarencebury,Utah,South,4.9,31,Sports,Equipment,Integrated directional workforce,SKU-3200-PENX,Gibson Ltd,Retail Store,Credit Card,Standard,4,191.27,79.0,765.08,0,0.0,137.71,0.0,902.79,449.08,58.7,Clearance,34.3,15,False,,4,16,4
ORD100024,2026-05-13,2026-05-16,2026-05-26,2026-05,Q2 2026,2026,False,False,CUST81874,Michelle Cruz,40,Female,Wholesale,Sancheztown,Wisconsin,East,3.8,195,Electronics,Phones,Visionary bi-directional time-frame,SKU-6328-DDJP,Bryant Group,Partner,Debit Card,Standard,1,858.3,360.23,858.3,10,85.83,139.04,0.0,911.51,412.24,48.03,New Year,22.69,19,False,,5,13,1
ORD100025,2025-12-04,2025-12-08,2025-12-12,2025-12,Q4 2025,2025,False,False,CUST69441,Victoria Larson,53,Male,Wholesale,Salazarhaven,Nevada,Central,2.6,48,Food,Snacks,Reactive local complexity,SKU-7743-ORXX,"Washington, Allen and Gonzales",Online,Credit Card,Standard,4,29.13,13.53,116.52,10,11.65,18.88,15.63,123.75,50.75,43.55,New Year,47.68,15,False,,3,8,1
ORD100026,2025-07-28,2025-07-31,2025-08-03,2025-07,Q3 2025,2025,False,False,CUST86869,Cynthia Rogers,29,Female,Wholesale,East Edwardfurt,Vermont,North,4.8,287,Food,Snacks,Distributed tertiary data-warehouse,SKU-1665-IDAD,Wall Group,Mobile App,Credit Card,Overnight,3,20.46,12.75,61.38,15,9.21,9.39,16.48,61.56,13.92,22.68,Clearance,43.4,1,False,,3,6,5
ORD100027,2025-01-05,2025-01-11,2025-01-19,2025-01,Q1 2025,2025,True,False,CUST24184,Lauren Dominguez,40,Male,New,Woodsstad,Maryland,North,2.4,0,Home & Garden,Decor,Versatile human-resource instruction set,SKU-8893-FORB,Johnson-Rogers,Retail Store,Credit Card,Standard,1,198.7,92.16,198.7,10,19.87,32.19,27.81,211.02,86.67,43.62,None,0.0,0,False,,3,14,4
ORD100028,2025-08-27,2025-08-28,2025-09-07,2025-08,Q3 2025,2025,False,False,CUST45054,Jennifer Martin,26,Other,Returning,Calhounside,Alaska,Central,1.1,139,Food,Gourmet,Object-based optimizing open system,SKU-0162-DLDQ,Murphy-Gibson,Retail Store,Credit Card,Express,2,25.91,15.36,51.82,0,0.0,9.33,35.13,61.15,21.1,40.72,New Year,0.31,4,False,,3,11,4
ORD100029,2026-01-18,2026-01-22,2026-01-29,2026-01,Q1 2026,2026,True,False,CUST30631,Shawn Ramirez,47,Male,Wholesale,Kingland,New Mexico,North,2.5,166,Electronics,Laptops,Ameliorated value-added moratorium,SKU-0531-XPCW,Herring and Sons,Retail Store,Credit Card,Standard,2,341.76,191.09,683.52,5,34.18,116.88,0.0,766.22,267.16,39.09,None,0.0,0,False,,5,11,1
ORD100030,2025-03-05,2025-03-09,2025-03-16,2025-03,Q1 2025,2025,False,False,CUST67939,Lisa Allen,41,Female,New,Caldwellshire,Indiana,Central,2.7,0,Clothing,Women,Persistent tangible extranet,SKU-5299-VTHX,Oconnell Inc,Online,UPI,Express,5,35.97,15.27,179.85,0,0.0,32.37,10.78,212.22,103.5,57.55,Clearance,5.54,18,False,,3,11,5
ORD100031,2024-05-31,2024-06-01,2024-06-02,2024-05,Q2 2024,2024,False,False,CUST37686,Tanya Johnston,47,Other,Returning,Sandersborough,California,North,4.1,130,Toys,Board Games,Reverse-engineered system-worthy product,SKU-3149-ZHYK,Reed Group,Retail Store,Credit Card,Standard,1,32.94,22.9,32.94,10,3.29,5.34,14.47,34.99,6.75,20.49,Clearance,8.78,12,False,,4,2,2
ORD100032,2024-11-04,2024-11-05,2024-11-12,2024-11,Q4 2024,2024,False,True,CUST20205,Andrea Holland,35,Female,New,Port Robertfort,Connecticut,East,4.4,0,Books,Comics,Optional high-level productivity,SKU-7262-UHPR,"Morton, Medina and Webb",Retail Store,Credit Card,Same Day,4,16.1,10.6,64.4,30,19.32,8.11,28.79,53.19,2.68,4.16,New Year,5.76,0,False,,4,8,2
ORD100033,2026-05-09,2026-05-10,2026-05-17,2026-05,Q2 2026,2026,True,False,CUST41891,Nicholas Adams,46,Male,Corporate,Port Sarah,Louisiana,West,2.7,205,Food,Gourmet,Organized dynamic system engine,SKU-7996-VBFU,Freeman LLC,Online,Credit Card,Standard,4,32.46,21.94,129.84,20,25.97,18.7,26.2,122.57,16.11,12.41,New Year,11.08,5,False,,3,8,5
ORD100034,2025-07-31,2025-08-03,2025-08-09,2025-07,Q3 2025,2025,False,False,CUST94599,Gina Beard,40,Male,Returning,Angelahaven,Illinois,Central,4.3,120,Toys,Educational,Configurable disintermediate success,SKU-6783-SEPT,West-Smith,Phone,PayPal,Standard,1,53.2,35.74,53.2,5,2.66,9.1,5.14,59.64,14.8,27.82,None,0.0,0,False,,2,9,1
ORD100035,2025-05-08,2025-05-12,2025-05-22,2025-05,Q2 2025,2025,False,False,CUST91857,Jared Sanchez,42,Other,Corporate,Thomashaven,Minnesota,West,2.3,321,Clothing,Shoes,Optimized value-added neural-net,SKU-5574-TQOH,"Lee, Wilson and Herrera",Retail Store,Cash,Express,1,120.53,75.69,120.53,5,6.03,20.61,15.81,135.11,38.81,32.2,Clearance,31.57,8,False,,4,14,1
ORD100036,2025-03-05,2025-03-06,2025-03-12,2025-03,Q1 2025,2025,False,False,CUST20057,Cathy Robinson,44,Other,VIP,Hillshire,Wisconsin,North,3.6,46,Home & Garden,Outdoor,Progressive radical forecast,SKU-1343-XLTA,"Ferguson, Hill and Mccann",Retail Store,Cash,Same Day,1,134.5,72.03,134.5,0,0.0,24.21,30.75,158.71,62.47,46.45,None,0.0,0,False,,4,7,1
ORD100037,2024-10-31,2024-11-02,2024-11-03,2024-10,Q4 2024,2024,False,False,CUST55015,Melissa Martinez,44,Other,Returning,Garciatown,Oregon,South,4.9,43,Sports,Equipment,Horizontal methodical matrices,SKU-7520-QEHE,Vasquez-Ray,Retail Store,UPI,Express,2,91.44,49.62,182.88,10,18.29,29.63,25.23,194.22,65.35,35.73,Clearance,49.55,16,False,,2,3,5
ORD100038,2024-12-31,2025-01-07,2025-01-13,2024-12,Q4 2024,2024,False,False,CUST16863,Brittany Shepherd,32,Male,Returning,Christopherbury,Delaware,East,4.2,331,Clothing,Kids,Realigned well-modulated instruction set,SKU-9993-XHYC,Evans-Chapman,Phone,Debit Card,Express,1,140.15,72.35,140.15,0,0.0,25.23,16.73,165.38,67.8,48.38,Clearance,14.21,19,False,,5,13,3
ORD100039,2025-05-04,2025-05-10,2025-05-17,2025-05,Q2 2025,2025,True,False,CUST21104,Keith Brown,38,Male,Returning,Port Jaredborough,Kentucky,South,2.2,192,Electronics,Accessories,Switchable attitude-oriented complexity,SKU-3281-KAAC,"Wheeler, Carter and Hall",Online,UPI,Standard,1,1166.75,575.29,1166.75,0,0.0,210.02,0.0,1376.77,591.46,50.69,Black Friday,33.51,16,False,,3,13,4
ORD100040,2024-09-06,2024-09-08,2024-09-14,2024-09,Q3 2024,2024,False,False,CUST73736,Michele Gibson,29,Other,Returning,West Kristin,South Dakota,North,1.8,70,Books,Academic,Reverse-engineered stable website,SKU-3618-OPJR,Jones and Sons,Online,Credit Card,Express,2,30.63,13.91,61.26,0,0.0,11.03,7.75,72.29,33.44,54.59,None,0.0,0,False,,1,8,5
ORD100041,2024-08-27,2024-08-29,2024-09-01,2024-08,Q3 2024,2024,False,False,CUST91885,Linda Holloway,40,Female,Returning,Scottmouth,Vermont,Central,4.2,84,Electronics,Cameras,Innovative tangible initiative,SKU-4887-CFMC,Navarro-Munoz,Retail Store,Debit Card,Standard,2,381.05,195.48,762.1,30,228.63,96.02,0.0,629.49,142.51,18.7,Clearance,18.21,7,False,,1,5,5
ORD100042,2025-06-18,2025-06-25,2025-07-03,2025-06,Q2 2025,2025,False,False,CUST35430,Darryl Craig,44,Other,New,Port Emilyview,Oregon,South,2.5,0,Home & Garden,Tools,Balanced well-modulated system engine,SKU-2787-RLLB,"Olsen, Costa and Harrison",Mobile App,Debit Card,Standard,1,188.16,92.73,188.16,0,0.0,33.87,47.36,222.03,95.43,50.72,New Year,38.91,16,False,,4,15,4
ORD100043,2024-09-01,2024-09-07,2024-09-15,2024-09,Q3 2024,2024,True,False,CUST82684,Frank Garcia,48,Female,New,West Robert,New York,Central,4.7,0,Clothing,Women,Horizontal stable initiative,SKU-8071-UQUH,Hancock-Bryan,Online,PayPal,Standard,1,46.61,22.14,46.61,10,4.66,7.55,35.57,49.5,19.81,42.5,New Year,4.19,5,False,,1,14,4
ORD100044,2025-05-27,2025-06-03,2025-06-11,2025-05,Q2 2025,2025,False,False,CUST13495,Sean Murray,19,Male,VIP,East Aprilfort,South Dakota,West,2.7,202,Books,Non-Fiction,Organic well-modulated application,SKU-3482-SCSF,Johnson Ltd,Partner,Debit Card,Express,1,17.09,11.5,17.09,10,1.71,2.77,25.1,18.15,3.88,22.7,New Year,11.23,10,False,,1,15,3
ORD100045,2025-05-12,2025-05-16,2025-05-19,2025-05,Q2 2025,2025,False,False,CUST71487,Cynthia Moore,32,Other,New,New Rickybury,Delaware,South,2.8,0,Food,Beverages,Persistent bottom-line project,SKU-2748-TRAE,Sanchez-Arnold,Online,Cash,Express,1,8.65,5.84,8.65,0,0.0,1.56,0.26,10.21,2.81,32.49,Black Friday,27.44,19,True,Not Needed,1,7,4
ORD100046,2026-02-02,2026-02-06,2026-02-16,2026-02,Q1 2026,2026,False,False,CUST24530,Thomas Romero,34,Male,New,Port Chad,Wyoming,South,4.3,0,Electronics,Cameras,Operative global toolset,SKU-8404-UTLL,"Burns, Hernandez and Ryan",Retail Store,Debit Card,Express,1,551.15,228.36,551.15,5,27.56,94.25,0.0,617.84,295.23,53.57,Summer Sale,31.6,18,False,,5,14,2
ORD100047,2025-02-19,2025-02-23,2025-02-26,2025-02,Q1 2025,2025,False,False,CUST21221,Juan Daniels,23,Other,New,Cantuborough,Vermont,North,3.1,0,Home & Garden,Tools,Front-line object-oriented info-mediaries,SKU-3605-VETZ,Hughes-Alvarado,Retail Store,Debit Card,Overnight,1,207.55,98.0,207.55,10,20.76,33.62,18.03,220.41,88.79,42.78,None,0.0,0,False,,5,7,5
